ID,epochs,early_stop,train_time,accuracy,f1_train,f1_test,layers,regularize_activation,regularize_entropy,regularize_ridge,batch_size,weight_decay,gamma,learning
2,10,True,13.919335126876831,0.9237083117331951,0.9227344770025748,0.9220046938206483,16,0.6,0.6,0.2,64,0.03,0.4,0.1
2,10,True,13.919335126876831,0.9237083117331951,0.9227344770025748,0.9220046938206483,16,0.6,0.6,0.2,64,0.03,0.4,0.1
2,10,True,13.919335126876831,0.9237083117331951,0.9227344770025748,0.9220046938206483,16,0.6,0.6,0.2,64,0.03,0.4,0.1
