Ciclo,Tempo_Total_Previsao,Tempo_Leitura,Tempo_Previsao_Rede,Tempo_Escrita,Entradas,Saidas
37,0.016201496124267578,0.007797956466674805,0.00019168853759765625,0.007962226867675781,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
38,0.02724766731262207,0.01443624496459961,0.00019240379333496094,0.012322187423706055,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
39,0.016391992568969727,0.008996725082397461,0.00019168853759765625,0.006920814514160156,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
40,0.020161867141723633,0.012298107147216797,0.0003485679626464844,0.007000446319580078,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
41,0.017618179321289062,0.0090789794921875,0.0001900196075439453,0.008080720901489258,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
42,0.015020370483398438,0.007784605026245117,0.0001862049102783203,0.0068073272705078125,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
43,0.0220489501953125,0.007842063903808594,0.00018715858459472656,0.013766765594482422,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
44,0.023280858993530273,0.013541460037231445,0.00024080276489257812,0.009217977523803711,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
45,0.01967644691467285,0.011191368103027344,0.00019168853759765625,0.008035421371459961,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
46,0.025911331176757812,0.01810741424560547,0.0004963874816894531,0.006876707077026367,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
47,0.0177154541015625,0.010362386703491211,0.00023031234741210938,0.006844282150268555,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
48,0.01863694190979004,0.01107478141784668,0.00019121170043945312,0.0071032047271728516,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
49,0.017394542694091797,0.008993387222290039,0.00019288063049316406,0.007951498031616211,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
50,0.02515244483947754,0.016757965087890625,0.00019240379333496094,0.007921695709228516,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
51,0.020433902740478516,0.011570453643798828,0.0003037452697753906,0.008046865463256836,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
52,0.022930622100830078,0.01112222671508789,0.0002498626708984375,0.011255264282226562,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
53,0.018036842346191406,0.010469198226928711,0.00026106834411621094,0.006814718246459961,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
54,0.016490697860717773,0.008036136627197266,0.00018978118896484375,0.007868766784667969,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
55,0.026435375213623047,0.013526678085327148,0.0001914501190185547,0.012448787689208984,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
56,0.02199697494506836,0.010113716125488281,0.0003330707550048828,0.011165380477905273,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
57,0.021779298782348633,0.01015329360961914,0.00019025802612304688,0.011168718338012695,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
58,0.017706632614135742,0.01018524169921875,0.00019240379333496094,0.007059574127197266,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
59,0.01615428924560547,0.008920431137084961,0.00018858909606933594,0.00679326057434082,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
60,0.027956724166870117,0.014839410781860352,0.0005671977996826172,0.011903524398803711,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
61,0.021583080291748047,0.012898921966552734,0.00021505355834960938,0.008144378662109375,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
62,0.019110918045043945,0.011314630508422852,0.0002884864807128906,0.006996870040893555,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
63,0.015580415725708008,0.008072376251220703,0.00020694732666015625,0.007005453109741211,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
64,0.016907215118408203,0.00921940803527832,0.0002868175506591797,0.007056474685668945,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
65,0.02141284942626953,0.012809038162231445,0.0002071857452392578,0.008102655410766602,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
66,0.026832103729248047,0.013791799545288086,0.00021314620971679688,0.012520074844360352,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
67,0.017667055130004883,0.010223150253295898,0.0002543926239013672,0.006836891174316406,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
68,0.016780614852905273,0.008092880249023438,0.0003044605255126953,0.007923126220703125,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
69,0.015409469604492188,0.008052587509155273,0.000240325927734375,0.006742715835571289,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
70,0.02343440055847168,0.010433435440063477,0.0002524852752685547,0.012314796447753906,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
71,0.023422956466674805,0.012568473815917969,0.00024580955505371094,0.010289192199707031,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
72,0.0216829776763916,0.01338815689086914,0.00024199485778808594,0.007757663726806641,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
73,0.020670175552368164,0.011214494705200195,0.0002048015594482422,0.008964061737060547,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
74,0.016199827194213867,0.007837295532226562,0.00020694732666015625,0.007825136184692383,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
75,0.020801305770874023,0.009098291397094727,0.00020599365234375,0.011098623275756836,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
76,0.021244287490844727,0.011518239974975586,0.00021982192993164062,0.009117841720581055,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
77,0.02856755256652832,0.020026683807373047,0.00019097328186035156,0.008079767227172852,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
78,0.02206587791442871,0.008935689926147461,0.00034809112548828125,0.012503862380981445,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
79,0.018781661987304688,0.011438131332397461,0.0002384185791015625,0.0067975521087646484,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
80,0.02433323860168457,0.015629291534423828,0.00019359588623046875,0.008237361907958984,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
81,0.02302837371826172,0.007960081100463867,0.0002148151397705078,0.014522790908813477,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
82,0.022243261337280273,0.013535261154174805,0.0002181529998779297,0.00821375846862793,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
83,0.018788814544677734,0.009035825729370117,0.00030922889709472656,0.009202957153320312,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
