params,num_parameters,num_epochs,epoch_train_time,training_time,backpropagation_time,loss_min,max_cpu_usage,max_ram_usage,accuracy,f1_score,precision,recall,confusion_matrix
"{'batch_size': 512, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [256, 128], 'learning_rate': 0.001, 'weight_decay': 0.0}",35718,64,0.3965325355529785,28.47788119316101,1.475119615321631,0.009641136974096298,4.1,30.8,99.11007430447555,0.9910344330450606,0.991183541043958,0.9911007430447555,"[[1894, 0, 0, 0, 0, 0], [15, 1860, 6, 8, 25, 38], [0, 0, 1907, 0, 0, 0], [0, 0, 0, 1995, 0, 0], [0, 0, 0, 0, 1887, 0], [0, 5, 0, 0, 6, 1928]]"
"{'batch_size': 512, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [256, 128], 'learning_rate': 0.001, 'weight_decay': 0.0005}",35718,64,0.4390387535095215,28.659969568252563,1.5020621838150443,0.03191884979605675,0.0,30.8,98.06462761361672,0.9803114447382617,0.9811143550964783,0.9806462761361673,"[[1892, 0, 1, 1, 0, 0], [27, 1749, 19, 17, 56, 84], [0, 0, 1905, 2, 0, 0], [0, 0, 0, 1995, 0, 0], [0, 5, 0, 0, 1880, 2], [0, 0, 0, 0, 10, 1929]]"
"{'batch_size': 512, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [256, 128], 'learning_rate': 0.001, 'weight_decay': 0.0001}",35718,64,0.45830583572387695,28.433358430862427,1.4778913541154548,0.018395230174064636,0.0,30.7,98.95455330914118,0.9894309279763198,0.9897150831451623,0.9895455330914118,"[[1894, 0, 0, 0, 0, 0], [21, 1834, 7, 13, 29, 48], [0, 0, 1907, 0, 0, 0], [0, 0, 0, 1995, 0, 0], [0, 0, 0, 0, 1887, 0], [0, 0, 0, 0, 3, 1936]]"
"{'batch_size': 512, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [512, 256], 'learning_rate': 0.1, 'weight_decay': 0.0}",136966,64,0.40136265754699707,28.746971607208252,1.512838179593558,0.016855478286743164,0.8,30.8,97.66718506998444,0.9763350643289003,0.9769044465022253,0.9766718506998445,"[[1886, 4, 4, 0, 0, 0], [17, 1746, 6, 54, 49, 80], [0, 0, 1907, 0, 0, 0], [0, 0, 0, 1995, 0, 0], [0, 7, 0, 0, 1880, 0], [0, 18, 3, 1, 27, 1890]]"
"{'batch_size': 512, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [512, 256], 'learning_rate': 0.1, 'weight_decay': 0.0005}",136966,64,0.4891383647918701,28.300150871276855,1.4442047001896323,0.06137445196509361,0.0,30.8,95.2220494211163,0.9516088016332059,0.955332929749003,0.952220494211163,"[[1885, 1, 0, 1, 0, 7], [22, 1575, 12, 25, 199, 119], [0, 1, 1858, 6, 33, 9], [0, 2, 0, 1993, 0, 0], [0, 12, 0, 0, 1874, 1], [0, 25, 1, 0, 77, 1836]]"
"{'batch_size': 512, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [512, 256], 'learning_rate': 0.1, 'weight_decay': 0.0001}",136966,64,0.411693811416626,28.259735584259033,1.461681306034654,0.01950289122760296,0.0,30.8,96.51805771556938,0.9647633550275903,0.9649802232673272,0.9651805771556938,"[[1894, 0, 0, 0, 0, 0], [32, 1711, 28, 13, 101, 67], [1, 0, 1906, 0, 0, 0], [1, 8, 4, 1982, 0, 0], [0, 27, 0, 0, 1830, 30], [0, 58, 33, 0, 0, 1848]]"
"{'batch_size': 512, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [512, 256], 'learning_rate': 0.01, 'weight_decay': 0.0}",136966,64,0.4424710273742676,28.688385248184204,1.521791935294539,0.002964466344565153,0.0,30.8,99.25695524451356,0.9925417727513167,0.9925831851962167,0.9925695524451357,"[[1894, 0, 0, 0, 0, 0], [8, 1889, 5, 8, 7, 35], [0, 0, 1907, 0, 0, 0], [0, 2, 0, 1993, 0, 0], [0, 21, 0, 0, 1866, 0], [0, 0, 0, 0, 0, 1939]]"
"{'batch_size': 512, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [512, 256], 'learning_rate': 0.01, 'weight_decay': 0.0005}",136966,64,0.41913533210754395,28.200958490371704,1.4541256395015087,0.03552212566137314,0.0,30.8,98.26334888543286,0.9824643191676249,0.9826421420131015,0.9826334888543287,"[[1892, 1, 0, 1, 0, 0], [26, 1808, 14, 14, 36, 54], [0, 0, 1907, 0, 0, 0], [0, 0, 0, 1995, 0, 0], [0, 0, 0, 0, 1878, 9], [0, 30, 10, 0, 6, 1893]]"
"{'batch_size': 512, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [512, 256], 'learning_rate': 0.01, 'weight_decay': 0.0001}",136966,64,0.4063570499420166,28.260653495788574,1.4714484440756368,0.017487164586782455,0.8,30.8,98.76447209262139,0.9875668976458297,0.9877730492740248,0.9876447209262139,"[[1892, 2, 0, 0, 0, 0], [9, 1844, 8, 11, 45, 35], [0, 0, 1900, 7, 0, 0], [0, 5, 0, 1990, 0, 0], [0, 0, 0, 0, 1887, 0], [0, 7, 0, 0, 14, 1918]]"
"{'batch_size': 512, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [512, 256], 'learning_rate': 0.001, 'weight_decay': 0.0}",136966,64,0.4321138858795166,29.08035683631897,1.5889582234424549,0.010875178501009941,0.0,30.8,99.2310350786245,0.9922746119754785,0.9923768843028896,0.9923103507862451,"[[1894, 0, 0, 0, 0, 0], [9, 1877, 2, 7, 11, 46], [0, 0, 1907, 0, 0, 0], [0, 2, 1, 1992, 0, 0], [0, 6, 0, 0, 1881, 0], [0, 1, 0, 0, 4, 1934]]"
